Tme (s),Position (m)
34.3,0.053
34.35,0.039
34.4,0.021
34.45,0
34.5,-0.02
34.55,-0.039
34.6,-0.053
34.65,-0.063
34.7,-0.065
34.75,-0.061
34.8,-0.05
34.85,-0.035
34.9,-0.016
34.95,0.005
35,0.024
35.05,0.041
35.1,0.053
35.15,0.06
35.2,0.06
35.25,0.053
35.3,0.041
35.35,0.024
35.4,0.005
35.45,-0.015
35.5,-0.033
35.55,-0.048
35.6,-0.059
35.65,-0.063
35.7,-0.06
35.75,-0.051
35.8,-0.037
35.85,-0.02
35.9,0
35.95,0.019
36,0.036
36.05,0.049
36.1,0.056
36.15,0.058
36.2,0.053
36.25,0.042
36.3,0.027
36.35,0.009
36.4,-0.01
36.45,-0.028
36.5,-0.043
36.55,-0.054
36.6,-0.059
36.65,-0.059
36.7,-0.052
36.75,-0.039
36.8,-0.023
36.85,-0.005
36.9,0.014
36.95,0.031
37,0.044
37.05,0.053
37.1,0.056
37.15,0.052
37.2,0.044
37.25,0.03
37.3,0.013
37.35,-0.005
37.4,-0.023
37.45,-0.039
37.5,-0.05
37.55,-0.056
37.6,-0.057
37.65,-0.052
37.7,-0.041
37.75,-0.026
37.8,-0.009
37.85,0.009
37.9,0.026
37.95,0.04
38,0.049
38.05,0.053
38.1,0.051
38.15,0.044
38.2,0.032
38.25,0.016
38.3,-0.001
38.35,-0.018
38.4,-0.034
38.45,-0.046
38.5,-0.053
38.55,-0.055
38.6,-0.051
38.65,-0.042
38.7,-0.029
38.75,-0.012
38.8,0.005
38.85,0.021
38.9,0.035
38.95,0.045
39,0.05
39.05,0.05
39.1,0.044
39.15,0.033
39.2,0.02
39.25,0.003
39.3,-0.014
39.35,-0.029
39.4,-0.041
39.45,-0.05
39.5,-0.052
39.55,-0.05
39.6,-0.043
39.65,-0.031
39.7,-0.016
39.75,0
39.8,0.016
39.85,0.03
39.9,0.041
39.95,0.047
40,0.048
40.05,0.044
40.1,0.035
40.15,0.022
40.2,0.007
40.25,-0.009
40.3,-0.024
40.35,-0.037
40.4,-0.046
40.45,-0.05
40.5,-0.049
40.55,-0.043
40.6,-0.032
40.65,-0.019
40.7,-0.004
40.75,0.012
40.8,0.025
40.85,0.037
40.9,0.044
40.95,0.046
41,0.043
41.05,0.036
41.1,0.024
41.15,0.01
41.2,-0.005
41.25,-0.02
41.3,-0.032
41.35,-0.042
41.4,-0.047
41.45,-0.047
41.5,-0.043
41.55,-0.034
41.6,-0.022
41.65,-0.007
41.7,0.007
41.75,0.021
41.8,0.032
41.85,0.04
41.9,0.044
41.95,0.042
42,0.036
42.05,0.026
42.1,0.013
42.15,-0.001
42.2,-0.015
42.25,-0.028
42.3,-0.038
42.35,-0.044
42.4,-0.045
42.45,-0.042
42.5,-0.035
42.55,-0.024
42.6,-0.011
42.65,0.003
42.7,0.017
42.75,0.028
42.8,0.036
42.85,0.041
42.9,0.04
42.95,0.036
43,0.027
43.05,0.016
43.1,0.002
43.15,-0.011
43.2,-0.024
43.25,-0.034
43.3,-0.04
43.35,-0.043
43.4,-0.041
43.45,-0.035
43.5,-0.026
43.55,-0.014
43.6,0
43.65,0.013
43.7,0.024
43.75,0.033
43.8,0.038
43.85,0.039
43.9,0.036
43.95,0.028
44,0.018
44.05,0.006
44.1,-0.007
44.15,-0.019
44.2,-0.03
44.25,-0.037
44.3,-0.04
44.35,-0.04
44.4,-0.035
44.45,-0.027
44.5,-0.016
44.55,-0.004
44.6,0.009
44.65,0.02
44.7,0.029
44.75,0.035
44.8,0.037
44.85,0.035
44.9,0.029
44.95,0.02
45,0.009
45.05,-0.004
45.1,-0.015
45.15,-0.026
45.2,-0.034
45.25,-0.038
45.3,-0.039
45.35,-0.035
45.4,-0.028
45.45,-0.019
45.5,-0.007
45.55,0.005
45.6,0.016
45.65,0.025
45.7,0.032
45.75,0.034
45.8,0.033
45.85,0.029
45.9,0.021
45.95,0.011
46,0
46.05,-0.011
46.1,-0.022
46.15,-0.03
46.2,-0.035
46.25,-0.036
46.3,-0.034
46.35,-0.028
46.4,-0.02
46.45,-0.01
46.5,0.001
46.55,0.012
46.6,0.021
46.65,0.028
46.7,0.032
46.75,0.032
46.8,0.029
46.85,0.022
46.9,0.013
46.95,0.003
47,-0.008
47.05,-0.018
47.1,-0.026
47.15,-0.032
47.2,-0.034
47.25,-0.033
47.3,-0.028
47.35,-0.021
47.4,-0.012
47.45,-0.002
47.5,0.008
47.55,0.017
47.6,0.025
47.65,0.029
47.7,0.03
47.75,0.028
47.8,0.022
47.85,0.015
47.9,0.005
47.95,-0.005
48,-0.015
48.05,-0.023
48.1,-0.028
48.15,-0.032
48.2,-0.032
48.25,-0.028
48.3,-0.022
48.35,-0.014
48.4,-0.005
48.45,0.005
48.5,0.014
48.55,0.021
48.6,0.026
48.65,0.028
48.7,0.027
48.75,0.023
48.8,0.016
48.85,0.008
48.9,-0.002
48.95,-0.011
49,-0.019
49.05,-0.025
49.1,-0.029
49.15,-0.03
49.2,-0.028
49.25,-0.023
49.3,-0.016
49.35,-0.007
49.4,0.001
49.45,0.01
49.5,0.017
49.55,0.023
49.6,0.025
49.65,0.025
49.7,0.022
49.75,0.017
49.8,0.01
49.85,0.001
49.9,-0.007
49.95,-0.015
50,-0.022
50.05,-0.026
50.1,-0.028
50.15,-0.027
50.2,-0.023
50.25,-0.017
50.3,-0.01
50.35,-0.002
50.4,0.007
50.45,0.014
50.5,0.02
50.55,0.023
50.6,0.024
50.65,0.022
50.7,0.017
50.75,0.011
50.8,0.004
50.85,-0.004
50.9,-0.012
50.95,-0.019
51,-0.023
51.05,-0.026
51.1,-0.025
51.15,-0.023
51.2,-0.018
51.25,-0.011
51.3,-0.004
51.35,0.004
51.4,0.011
51.45,0.017
51.5,0.02
51.55,0.022
51.6,0.021
51.65,0.017
51.7,0.012
51.75,0.005
51.8,-0.002
51.85,-0.009
51.9,-0.015
51.95,-0.02
52,-0.023
52.05,-0.024
52.1,-0.022
52.15,-0.018
52.2,-0.012
52.25,-0.006
52.3,0.001
52.35,0.008
52.4,0.013
52.45,0.017
52.5,0.02
52.55,0.02
52.6,0.017
52.65,0.013
52.7,0.007
52.75,0
52.8,-0.006
52.85,-0.012
52.9,-0.018
52.95,-0.021
53,-0.022
53.05,-0.021
53.1,-0.018
53.15,-0.013
53.2,-0.007
53.25,-0.001
53.3,0.005
53.35,0.011
53.4,0.015
53.45,0.017
53.5,0.018
53.55,0.016
53.6,0.013
53.65,0.008
53.7,0.002
53.75,-0.004
53.8,-0.01
53.85,-0.015
53.9,-0.018
53.95,-0.02
54,-0.02
54.05,-0.017
54.1,-0.014
54.15,-0.008
54.2,-0.003
54.25,0.003
54.3,0.008
54.35,0.012
54.4,0.015
54.45,0.016
54.5,0.015
54.55,0.013
54.6,0.009
54.65,0.004
54.7,-0.002
54.75,-0.007
54.8,-0.012
54.85,-0.016
54.9,-0.018
54.95,-0.018
55,-0.017
55.05,-0.014
55.1,-0.01
55.15,-0.004
55.2,0.001
55.25,0.005
55.3,0.009
55.35,0.013
55.4,0.014
55.45,0.014
55.5,0.012
55.55,0.009
55.6,0.005
55.65,0
55.7,-0.005
55.75,-0.009
55.8,-0.013
55.85,-0.015
55.9,-0.016
55.95,-0.016
56,-0.014
56.05,-0.01
56.1,-0.006
56.15,-0.002
56.2,0.003
56.25,0.007
56.3,0.01
56.35,0.012
56.4,0.012
56.45,0.011
56.5,0.009
56.55,0.005
56.6,0.001
56.65,-0.003
56.7,-0.007
56.75,-0.011
56.8,-0.013
56.85,-0.015
56.9,-0.015
56.95,-0.013
57,-0.01
57.05,-0.007
57.1,-0.003
57.15,0.001
57.2,0.005
57.25,0.008
57.3,0.01
57.35,0.011
57.4,0.01
57.45,0.009
57.5,0.006
57.55,0.002
57.6,-0.002
57.65,-0.005
57.7,-0.008
57.75,-0.011
57.8,-0.012
57.85,-0.013
57.9,-0.012
57.95,-0.01
58,-0.007
58.05,-0.004
58.1,0
58.15,0.003
58.2,0.005
58.25,0.008
58.3,0.009
58.35,0.009
58.4,0.008
58.45,0.006
58.5,0.003
58.55,0
58.6,-0.004
58.65,-0.007
58.7,-0.009
58.75,-0.011
58.8,-0.011
58.85,-0.011
58.9,-0.01
58.95,-0.007
59,-0.004
59.05,-0.002
59.1,0.001
59.15,0.004
59.2,0.006
59.25,0.007
59.3,0.008
59.35,0.007
59.4,0.005
59.45,0.003
59.5,0
59.55,-0.003
59.6,-0.005
59.65,-0.008
59.7,-0.009
59.75,-0.01
59.8,-0.01
59.85,-0.008
59.9,-0.007
59.95,-0.005
60,-0.003
60.05,0
60.1,0.002
60.15,0.004
60.2,0.005
60.25,0.006
60.3,0.005
60.35,0.004
60.4,0.003
60.45,0.001
60.5,-0.002
60.55,-0.004
60.6,-0.006
60.65,-0.007
60.7,-0.008
60.75,-0.008
60.8,-0.008
60.85,-0.007
60.9,-0.005
60.95,-0.003
61,-0.001
61.05,0.001
61.1,0.003
61.15,0.004
61.2,0.004
61.25,0.004
61.3,0.004
61.35,0.002
61.4,0.001
61.45,-0.001
61.5,-0.003
61.55,-0.004
61.6,-0.006
61.65,-0.007
61.7,-0.007
61.75,-0.007
61.8,-0.006
61.85,-0.004
61.9,-0.003
61.95,-0.001
62,0
62.05,0.002
62.1,0.003
62.15,0.003
62.2,0.003
62.25,0.002
62.3,0.001
62.35,0
62.4,-0.001
62.45,-0.003
62.5,-0.004
62.55,-0.004
62.6,-0.005
62.65,-0.005
62.7,-0.005
62.75,-0.004
62.8,-0.004
62.85,-0.003
62.9,-0.002
62.95,0
63,0.001
63.05,0.001
63.1,0.002
63.15,0.002
63.2,0.002
63.25,0.001
63.3,0.001
63.35,0
63.4,0
63.45,-0.001
63.5,-0.002
63.55,-0.003
63.6,-0.004
63.65,-0.004
63.7,-0.004
63.75,-0.004
63.8,-0.004
63.85,-0.003
63.9,-0.003
63.95,-0.002
64,-0.001
64.05,0
64.1,0
64.15,0
64.2,0
64.25,0
64.3,0
64.35,-0.001
64.4,-0.002
64.45,-0.002
64.5,-0.003
64.55,-0.003
64.6,-0.003
64.65,-0.003
64.7,-0.003
64.75,-0.003
64.8,-0.003
64.85,-0.003
64.9,-0.002
64.95,-0.002
65,-0.001
65.05,-0.001
65.1,-0.001
65.15,-0.001
65.2,-0.001
65.25,-0.001
65.3,-0.001
65.35,-0.001
65.4,-0.002
65.45,-0.002
65.5,-0.002
65.55,-0.002
65.6,-0.002
65.65,-0.002
65.7,-0.002
65.75,-0.002
65.8,-0.002
65.85,-0.002
65.9,-0.002
65.95,-0.002
66,-0.002
66.05,-0.002
66.1,-0.002
66.15,-0.002
66.2,-0.002
